City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
363,hami,0,CN,1571089986,30,42.84,93.51,10.43,2.141
364,shetpe,0,KZ,1571089996,90,44.14,52.16,12.5,0.857
365,ibra,0,OM,1571090004,47,22.69,58.55,26.19,1.604
366,vrangel,0,RU,1571090012,46,42.73,133.08,5.55,6.173
367,barsovo,94,RU,1571090021,90,61.17,73.17,6.6,4.307
368,narsaq,5,GL,1571090029,49,60.91,-46.05,0.0,2.6
369,kununurra,38,AU,1571090038,83,-15.77,128.74,22.0,1.5
370,sant julia de loria,100,AD,1571090046,81,42.46,1.49,15.56,0.45
371,azul,77,AR,1571090054,45,-36.78,-59.86,12.78,0.89
372,imperia,67,IT,1571090063,77,43.88,8.02,20.0,1.5
373,yaan,80,NG,1571090072,87,7.38,8.57,25.31,2.859
374,kovdor,100,RU,1571090080,98,67.56,30.47,-0.19,0.568
375,hofn,100,IS,1571090089,86,64.25,-15.21,9.26,11.785
376,ilulissat,10,GL,1571090097,57,69.22,-51.1,-7.0,7.2
377,lagos,20,NG,1571090105,88,6.46,3.39,27.0,2.1
378,hay river,75,CA,1571090114,86,60.82,-115.79,1.0,1.0
379,mata,17,PT,1571090122,90,40.68,-7.46,10.56,2.395
